,image_location,image_name,deep_web_tags,content,formatted_content
0,C:\Users\20522516\phd\RESEARCH\CYBER_DATASETS\DATASET_DEEP_WEB\folder_0\abounding-likeable-bizarre-fact.png,abounding-likeable-bizarre-fact.png,"['drugs-narcotics', 'LoginForms']", Dream Market Register Login 2FA Login Ichudifyeqm 4ldjj.onion Established 2013 Login with existing user Username Onion mirrors [ t3e6ly3uib5qljlt.onion Password verified wdsgtsqkk5sk5zmqr4pc2lqdox fwgrjvw2155kloczhqq3nvr3bm Captcha Code (?) 3wyd.onion Please enter the 4 letters surrounded by the box (case sensitive). jd6yhuwciouty6gn.onion Please check always that you are on the correct url. t3e6ly3uoey6x4uk.onion 7ep7acrklcmbmg6t.onion 1chudi fyeqm 41djj . onion vilpaqbrntihapth.onion igyifrhnvzla4gok.onion 7a xHse 6qlocfg6zqg476re.onion x3x2dwb7jigc7qoj.onion bkjcpa2kqozbrpqp.onion Login xytjqcfepytpi72g.onion nhib6cwhyjsdfcsi.onion Sign up k3pd243sr2rfbaho.onion PGP authentication Choose one of the I lost my password links above if the site is loading too slow. C. Forum Help Copyright @ 2013 by SpeedSteppers , dream market register login fa login ichudifyeqm ldjjonion established login with existing user username onion mirror telyuibqljltonion password verified wdsgtsqkkskzmqrpclqdox fwgrjvwkloczhqqnvrbm captcha code wydonion please enter the letter surrounded by the box case sensitive jdyhuwcioutygnonion please check always that you are on the correct url telyuoeyxukonion epacrklcmbmgtonion chudi fyeqm djj onion vilpaqbrntihapthonion igyifrhnvzlagokonion a xhse qlocfgzqgreonion xxdwbjigcqojonion bkjcpakqozbrpqponion login xytjqcfepytpigonion nhibcwhyjsdfcsionion sign up kpdsrrfbahoonion pgp authentication choose one of the i lost my password link above if the site is loading too slow c forum help copyright by speedsteppers 
1,C:\Users\20522516\phd\RESEARCH\CYBER_DATASETS\DATASET_DEEP_WEB\folder_0\faulty-subdued-absorbed-girlfriend.png,faulty-subdued-absorbed-girlfriend.png,['whistleblower']," It is recommended to use the Tor Browser to access SecureDrop: Learn how to install it, or ignore this warning to continue. X Submit for the first Already submitted time something? nI'K If this is your first time submitting to If you have already submitted to journalists, start here. journalists, log in here to check for responses. & SUBMIT CHECK FOR A DOCUMENTS RESPONSE @English V Like all software, SecureDrop may contain security bugs. Use at your own risk. Powered by SecureDrop 0.12.2. ", it is recommended to use the tor browser to access securedrop learn how to install it or ignore this warning to continue x submit for the first already submitted time something nik if this is your first time submitting to if you have already submitted to journalist start here journalist log in here to check for response submit check for a document response english v like all software securedrop may contain security bug use at your own risk powered by securedrop 
2,C:\Users\20522516\phd\RESEARCH\CYBER_DATASETS\DATASET_DEEP_WEB\folder_0\abortive-trashy-deserted-sun.png,abortive-trashy-deserted-sun.png,['LoginForms'], Dream Market Register Login 2FA Login Ichudifyeqm 4ldjj.onion Established 2013 Login with existing user Username Onion mirrors [ t5kqoucj5kbboheh.onion Password verified wdsgtsqkk5sk5zmqr4pc2lqdox fwgrjvw2i55kloczhqq3nvr3bm Captcha Code (?) 3wyd.onion Please enter the 4 letters surrounded by the box (case sensitive). jd6yhuwcivehvdt4.onion Please check always that you are on the correct url. t3e6ly3uoif4zcw2.onion 7ep7acrkunzdcw3l.onion 1chudi fyeqm41djj . onion vilpaqbrnvizecjo.onion igyifrhnvxq33sy5.onion f7 aKri 6qlocfg6zq2kyacl.onion x3x2dwb7jasax6tq.onion bkjcpa2klkkmowwq.onion Login xytjqcfendzeby22.onion nhib6cwhfsoyiugv.onion Sign up k3pd243s57fttnpa.onion PGP authentication Choose one of the I lost my password links above if the site is loading too slow. C. Forum Help Copyright @ 2013 by SpeedSteppers , dream market register login fa login ichudifyeqm ldjjonion established login with existing user username onion mirror tkqoucjkbbohehonion password verified wdsgtsqkkskzmqrpclqdox fwgrjvwikloczhqqnvrbm captcha code wydonion please enter the letter surrounded by the box case sensitive jdyhuwcivehvdtonion please check always that you are on the correct url telyuoifzcwonion epacrkunzdcwlonion chudi fyeqmdjj onion vilpaqbrnvizecjoonion igyifrhnvxqsyonion f akri qlocfgzqkyaclonion xxdwbjasaxtqonion bkjcpaklkkmowwqonion login xytjqcfendzebyonion nhibcwhfsoyiugvonion sign up kpdsfttnpaonion pgp authentication choose one of the i lost my password link above if the site is loading too slow c forum help copyright by speedsteppers 
3,C:\Users\20522516\phd\RESEARCH\CYBER_DATASETS\DATASET_DEEP_WEB\folder_0\past-high-gigantic-western.png,past-high-gigantic-western.png,"['marketplace-for-sale', 'drugs-narcotics']"," Dream Market Register Login 2FA Login Ichudifyeqm 4ldjj.onion Established 2013 This market is shutting down on 04/30/2019 and is transferring its -- Onion mirrors [ services to a partner company, onion address: weroidjkazxqds2l.onion 4fli55dqu7k6p5cz.onion (currently offline, opening soon) verified wdsgtsqkk5sk5zmqr4pc2lqdox fwgrjvw2i55kloczhqq3nvr3bm 3wyd.onion jd6yhuwcivehvdt4.onion C. t3e6ly3uoif4zcw2.onion 7ep7acrkunzdcw3l.onion vilpaqbrnvizecjo.onion igyifrhnvxq33sy5.onion 6qlocfg6zq2kyacl.onion x3x2dwb7jasax6tq.onion bkjcpa2klkkmowwq.onion xytjqcfendzeby22.onion nhib6cwhfsoyiugv.onion k3pd243s57fttnpa.onion Choose one of the links above if the site is loading too slow. Forum Help Copyright @ 2013 by SpeedSteppers ", dream market register login fa login ichudifyeqm ldjjonion established this market is shutting down on and is transferring it onion mirror service to a partner company onion address weroidjkazxqdslonion flidqukpczonion currently offline opening soon verified wdsgtsqkkskzmqrpclqdox fwgrjvwikloczhqqnvrbm wydonion jdyhuwcivehvdtonion c telyuoifzcwonion epacrkunzdcwlonion vilpaqbrnvizecjoonion igyifrhnvxqsyonion qlocfgzqkyaclonion xxdwbjasaxtqonion bkjcpaklkkmowwqonion xytjqcfendzebyonion nhibcwhfsoyiugvonion kpdsfttnpaonion choose one of the link above if the site is loading too slow forum help copyright by speedsteppers 
4,C:\Users\20522516\phd\RESEARCH\CYBER_DATASETS\DATASET_DEEP_WEB\folder_0\earthy-defiant-ahead-queen.png,earthy-defiant-ahead-queen.png,['finance']," X96NBF0561N6UD HGZL8 :30908 EA 1 7974 ARXT Y 9811G)UD601 NORRXT BA 9BLIGIU X96MBFO 088 Y073J W BXPX8260YJ 07088LL04 MJT56FG0230 9HCS46V5237V8854 56YSUEORGBON 9 HC BuyPrivKey 93 193937 119 Y A48 AMFLOR 41750347 RW10 15P4652WF23NINGRIE AHWA GD 5HV AXNL BOL 2 28370 KG W1KG 17 R6 4E50 8WDLIQ JH48 48 82 48 5 2 9 77 6 TONOB4A 5 X452 72P12 1 3KM1.4VEL N491|6A2 ZEC ONSE HG 0082378 9X12 WE7029P.481 4 2X930 2H JOB 1VBS.C3PE4U68 WH7029P.4 3ZV 20 012HXH 2GNITD 5:00 Y MI 044 2GN TD SL1 91343802 JAI J4 7SABED1 51 4DC TOB 0811 220H PAGRTL UR97 0ZX YT2 E. EHCX9 00 6JL 68 79VT W3IP50J2 EHCX9H9A00 6JL(2) AW You want to buy the private key of the next Bitcoin Address 40 NY 1BD 6486VBD2 HN F4Y361 1KiwrKyV606ZrGxDH7Cu3yN2LqhdWfiz2p HN K48 3E761EZ5122HXC BR10 02 A90 ABE8JMBIA2FOU1CSH5K48ORJE 76TEZ 1PW07PD EBBGKR F37-304V9T DDI. 1288400SRJ4U9D R Bitcoin Address Balance BD 3AW PY40 8 5X440 GOR RTVTY7 LE 509 I HXUVY YT1 EYTI 67016 CA KS 0.45084084 btc Y 50 A 7D F2 4432 JJGS 03DMX16D QY54 3N2 792 513 PHARO NPX OWYN7M3N20 TBHBORN 60XF9 R4NGON064TH3E68G1 V DO? GONS84G9088 Y508 23097 4262| BHBOHHMX 60XF9 144% SW622VDJ B HA Price 04990KWO F 3DIGUN 12KWSVY H YF6HK. YM 68 YF6HK YM 5 X 95N87 UNCFU 65 UNCFU 65 456PC4 CAABE ZVVES: Q450B 9 V P 683 YF6HK. YM BA715CT0 G301 75B80997 UJA! A1838 7Vb14208 ABH 0.023 btc UKK 868 50(DOHQ VG1213A7 5010:03017-88099 VEUX 5RL FMO EG92 RO KERX31723 7P4.06575M RO KERX 31 YUDXW9ZO (IMCANNXOBYC VEU 5RL FMO EG92 OBDQUIMG4TY BT NIAOR DE XIR7Y637UA4 9T215 FOOMP YWOW1V85T BDON IMGATYPBT NIA IR 04DC2F3012520708) HB712305H4785 KG43| IR RM7YOX3 174 TAGUETOIR 046C2F301 2520708 AF8YBF30572ELEYS5 0 925F20BLK75818 WDC 925F TWD First enter your email 03RIVX JAF8YBF30572ELEYSS R2BI7 040A6 95 /USBALODI O DEQQPT WS R2BI7 040A6 95 797 1346 DIN351 email@example.com FID 2EMA 346. DINJ51 991 NDBOUOYFSO 26H 601M6DX8 8 22 9991 NDBOUOYFSO 26H ADXUJIKNL 4L 205PZSU 7ME 13/ 04G GOXT HM ADKIJKNL 4L205PZSU YY GOE3 F 7HHFX1 7KWO IU8 C 4UID H 68 52R Y2 1 1U8 C 088 S 349LG367D YY GOE3 F 7HHFX1 7KW KI 9H51 2 511 687TU D822 16M LVR5 VBVOS3KWUKI 9H51 BOHAD 3 URGEFNO D -2SIW 5640 YFS BOHAD 3 BURGEIN HOARXT BA X96NBF05UINGUD HGZL8 :30908 9811GIUD601. NORRXT BA X96MB FO 7V8854 56Y5UEORG8CN2369 Y073J W BX Continue payment 30230 9HCS46V5237V8854 86YSUEORGBCN 3NINGRIE AHWA GD 5HVSEN00EN 38 450937111 USCI5P4652WF23NINGHIE SAHWA HOD 5HV R6 4E50 8WDLID :74Y 9P =6Z BAIDAN 718M2 2837GH W1KG 17 R6 4E50 8WDL10 174 N4916A2 RDR8G 82 48 5 FX452 7PP12 X452 3KM1 .JOB 1VBSY(3PE4U68 6. DE 02 ZEC ONSE G 24B1 4 2X030 2H JOB 1V8SYC3PE4U68 SABED1951 4DC 3ZV U SK920 3ZV HXH 5 SL""J 91343802 JAI J4 7SABED1 51 4DC 91343802 SA H9700 6JL (2) NY BD 6486VBE Images from Electrum wallet: 300 Electrum 3.0.6 - 1KiwrKyV606ZrGxDH7Cu3yN2LqhdWfiz2p History Send Receive Addresses Date Description Amount Balance 2017-05-07 02:01 0. 00524655 0.45084084 13N 2016-11-15 23:35 0.04302621 0.45608739 MX OXF9 2016-11-12 03:34 0.02902743 0.4991136 2016-11-11 19:20 0.29502637 0.52814103 YF6HK. YM 5 2016-06-25 11:46 +0.00013404 0.8231674 G3017CB8039 FMO EG92 2016-06-10 01:38 +0.00005524 0.82303336 2016-06-09 16:19 +0.00020219 0.82297812 2016-06-07 20:59 +0.00042022 0.82277593 2016-03-03 04:01 +0.00035114 0.82235571 2016-01-02 11:16 +0.00058749 0.82200457 GOE3 F17H 2015-12-09 01:06 +0.00041441 0.82141708 9H51 2015-12-07 15:59 +0.00117648 0.82100267 BOHAD 3 2015-12-04 14:24 +0.00095768 0.81982619 HORRXT BA 7V8854 5675U 2015-12-03 08:28 +0.00006135 0.81886851 +0.00135978 YSUEORGBCN NINGRIE SAHWA 2015-11-24 04:23 0.81880716 R6 4E50 8WD Balance: 0.45084084 BTC JOB IVBSYC SABEDI JJ2 EHCX9H9A00 JT 19 30TDCR40 O Private key WOH WY NY 1BD 6486VBD2) R 4 Address: 1KiwrKyV606ZrGxDH7Cu3yN2LqhdWfiz2p UK 3W HN F4YJ61505 Script type: p2pkh OH1CSH5K48ORJE761EZ51 IEZ517 2N98 MTOA BH8 45W07 RD Private key: 35A4 BAC 380 38 JI 7D 4PY40 5HtZUC BCYKPyUG DMX16D QY5404509 I H E1 JO OWYN7M3N2025 X78 BHE 40G21BHBORHMX 60XF9 12KWSVY H P 68 YF6HK. YM 5 X 9 V P 68 YF6HK YM A7 5CTO""G3017-B80997 198715CT0 G3017 B8039 VEUX 5RL FMO EG92 VEUX 5RL FMO EG92 OBDQUIMG4TY BT NIAOR BDQUIMGATY BT NIAJE IR 04DC2F3 01 252 0 708) WHE OIR:04DC2F301252 0708) AF8YBF30572ELEYSS 0 F8YBF30572ELEYSS R2BI7 040A6 95 7USB WS R2BI7 040A6 957 DYNJ51 C8 72L A 346. DINJ51 08 721 991 NDBOUOYFSO 268 6017 9991 NDBOUOYFSO 268 60 ADKIJKNL 4L 205PZSU 7ME YY GOE3 F 7HHFX1 7KWO close MADKIJKNL4L2D5PZSU YY GOE3 F 7HHFX1 7KW KI 9H51 UK1 9851 51 YFOR BOHAD 3 1 UE51 URGE NO97 1 UESL 9KKNV YP YPOR BOHAD 3 FORGEIN HOARXT B X96MBF05UINGUD HGZL8 :30908 HORRXTOBA X96MB FO 37V8854 56YSUEORG8CN2369 Y 073J W BXPX826 5237V8854 56YSUEORGBCN NGRIESAHWA BENQEN 38 458937 A4B F23NINGRIE SAHWA AGD 5HV R6-4E50 8WDLIQ 4Y 9P =6Z BAIONA 718M3A R6 4E50 8WDLIQ ", xnbfnud hgzl ea arxt y gud norrxt ba bligiu xmbfo yj w bxpxyj ll mjtfg hcsvv ysueorgbon hc buyprivkey y a amflor rw pwfningrie ahwa gd hv axnl bol kg wkg r e wdliq jh tonoba x p kmvel na zec onse hg x wep x h job vbscpeu whp zv hxh gnitd y mi gn td sl jai j sabed dc tob h pagrtl ur zx yt e ehcx jl vt wipj ehcxha jl aw you want to buy the private key of the next bitcoin address ny bd vbd hn fy kiwrkyvzrgxdhcuynlqhdwfizp hn k eezhxc br a abejmbiafoucshkorje tez pwpd ebbgkr fvt ddi srjud r bitcoin address balance bd aw py x gor rtvty le i hxuvy yt eyti ca k btc y a d f jjgs dmxd qy n pharo npx owynmn tbhborn xf rngontheg v do gonsg y bhbohhmx xf swvdj b ha price kwo f digun kwsvy h yfhk ym yfhk ym x n uncfu uncfu pc caabe zvves qb v p yfhk ym bact g b uja a vb abh btc ukk dohq vga veux rl fmo eg ro kerx pm ro kerx yudxwzo imcannxobyc veu rl fmo eg obdquimgty bt niaor de xiryua t foomp ywowvt bdon imgatypbt nia ir dcf hbh kg ir rmyox taguetoir cf afybfeleys fblk wdc f twd first enter your email rivx jafybfeleyss rbi a usbalodi o deqqpt w rbi a din emailexamplecom fid ema dinj ndbouoyfso h mdx ndbouoyfso h adxujiknl l pzsu me g goxt hm adkijknl lpzsu yy goe f hhfx kwo iu c uid h r y u c s lgd yy goe f hhfx kw ki h tu d m lvr vbvoskwuki h bohad urgefno d siw yfs bohad burgein hoarxt ba xnbfuingud hgzl giud norrxt ba xmb fo v yueorgcn yj w bx continue payment hcsvv ysueorgbcn ningrie ahwa gd hvsenen uscipwfninghie sahwa hod hv r e wdlid y p z baidan m gh wkg r e wdl na rdrg fx pp x km job vbsypeu de zec onse g b x h job vsycpeu sabed dc zv u sk zv hxh slj jai j sabed dc sa h jl ny bd vbe image from electrum wallet electrum kiwrkyvzrgxdhcuynlqhdwfizp history send receive address date description amount balance n mx oxf yfhk ym gcb fmo eg goe fh h bohad horrxt ba v u ysueorgbcn ningrie sahwa r e wd balance btc job ivbsyc sabedi jj ehcxha jt tdcr o private key woh wy ny bd vbd r address kiwrkyvzrgxdhcuynlqhdwfizp uk w hn fyj script type ppkh ohcshkorjeez iez n mtoa bh w rd private key a bac ji d py htzuc bcykpyug dmxd qy i h e jo owynmn x bhe gbhborhmx xf kwsvy h p yfhk ym x v p yfhk ym a ctogb ct g b veux rl fmo eg veux rl fmo eg obdquimgty bt niaor bdquimgaty bt niaje ir dcf whe oirdcf afybfeleyss fybfeleyss rbi a usb w rbi a dynj c l a dinj ndbouoyfso ndbouoyfso adkijknl l pzsu me yy goe f hhfx kwo close madkijknlldpzsu yy goe f hhfx kw ki h uk yfor bohad ue urge no uesl kknv yp ypor bohad forgein hoarxt b xmbfuingud hgzl horrxtoba xmb fo v ysueorgcn y j w bxpx v ysueorgbcn ngriesahwa benqen ab fningrie sahwa agd hv re wdliq y p z baiona ma r e wdliq 
5,C:\Users\20522516\phd\RESEARCH\CYBER_DATASETS\DATASET_DEEP_WEB\folder_0\anxious-level-distinct-senior.png,anxious-level-distinct-senior.png,"['drugs-narcotics', 'marketplace-for-sale']"," You're viewing: 0.5g Heroin #4 1 Lab tested USA stock $45.00 ***** Add to cart WER a search products ... Shop My account Submit Ticket My Tickets $0.00 0 items Read me 1 > 0.5g Heroin #4 El Lab tested # USA stock Legal 0.5g Heroin #4 XI Lab tested X) USA stock ***** (20 customer reviews $45.00 Very strong and genuine Afghan sourced #4 Heroin. Our heroin is uncut and comes directly to you. There is no fentanyl, or any other active cut. Extremely potent and dose depends on individuals' tolerance. Each batch of goods is tested in the laboratory for compliance with high quality standards. You can see the purity of the product from the current batch. rity of the current batch: 84.14% Grams / Total cost / Price per gram .5g/ $45 / $90 g / $70 .5g / $227.5 / $65 3/ 5420/ $60 148/ $770/ $55 1 . Add to car Category: Her 20 reviews for 0.5g Heroin #4 X Lab tested x USA stock thanks bro . ***** immediate delivery, great product, always good to work with professionals and true to their word Excellent, as usual, timing, stealth, and quality all excellent. These guys are top notch! ***** Now THIS is QUALITY! A little clumpy, but brown colored gun powder! I was nodding after just sampling a bit! And for the price? Really hard to justify going anywhere elsewhere, hope Legalise stays around for a long time to come! ***** I've left numerous thorough reviews on this specific product/vendor. Another A+ * 5/5 * Top Shelf transaction from my favorite vendor around. Thank you Legalise! ***** GREAT STEALTH and that's how ALL Vendors NEED to do for all packs! Dont kid yourself, our lives are on the line with these packs and crappy packing gets people in serious trouble! Thanks for caring enough to pack my shit properly! This is my kind of DN Vendor here! Thank you!!! ***** order to delivery speed incredible. Quality on point as usual. Consistent. Very ***** t of the best, it simply cant get better ***** 5 stars as always ***** ***** Very nice, Thanks! ***** Awesome vendor, look no further! Awesome product! Best ever!! ***** Incredible consistency in speed and quality . My one and only vendor. ***** This the A+, Five out of Five, All Day Errday, Any Time Any Place guy right here. Honestly if you have something bad to say about this vendor then you are a fucking ass clown. Doesn't get better than right here and that's the truth. **** Great service as always ! ***** Guys are the best, set your watch by it, great communication, no drama, just point, click and magic it appears next day, got to love it, makes Amazon look slow, guys are the best ***** Arrived in 2 days! 3rd successful transaction through this vendor each time with quality product! This stuff doesn't have the greatest rush however my tolerance is a little high right now as well. But it still has a strong fade with legs. And the 2 days? Awesome! He hooked it up extra also. L Perfect transaction again ! Thanks ! beloved vendor pp Notch! Only logged in customers who Related products 3.5g Heroin #4 1 Lab tested > USA stock 7g Heroin #4 I Lab tested & USA stock #4 8 Lab tested & USA st ***** ***** ***** 9 reviews $227.50 SA20:00 3 reviews $770.00 Add to cart Add to cart Add to cart 100% client 0100 Best Stealth Quality 1101 User data satisfaction solutions guaranteed 1001 encryption We accept Recent Reviews 3.5g Ketamine S(+) Isomer B Lab tested D USA stock ***** 10/5 cant say enough how lucky I am to have stumbled across this vendor! K is phenomenal. Fast ship and ... 3.5g Crystal Meth & Lab tested & USA stock You can find us here: ***** My new plug A+ no complaints Wall"" Market 7g MDMA Crystals I Lab tested @ USA stock heat vendor. Good shipping speed, great product. Almost 0.5g overweight. Thanks Dream Market 0.5g Heroin #4 2 Lab tested @ USA stock ***** Top Notch!! 3.5g Ketamine S(+) Isomer @ Lab tested DI USA stock ***** Vendor needed an extra day to ship out but he kept comms great and the shipment is on its way .... ", youre viewing g heroin lab tested usa stock add to cart wer a search product shop my account submit ticket my ticket item read me g heroin el lab tested usa stock legal g heroin xi lab tested x usa stock customer review very strong and genuine afghan sourced heroin our heroin is uncut and come directly to you there is no fentanyl or any other active cut extremely potent and dose depends on individual tolerance each batch of good is tested in the laboratory for compliance with high quality standard you can see the purity of the product from the current batch rity of the current batch gram total cost price per gram g g g add to car category her review for g heroin x lab tested x usa stock thanks bro immediate delivery great product always good to work with professional and true to their word excellent a usual timing stealth and quality all excellent these guy are top notch now this is quality a little clumpy but brown colored gun powder i wa nodding after just sampling a bit and for the price really hard to justify going anywhere elsewhere hope legalise stay around for a long time to come ive left numerous thorough review on this specific productvendor another a top shelf transaction from my favorite vendor around thank you legalise great stealth and thats how all vendor need to do for all pack dont kid yourself our life are on the line with these pack and crappy packing get people in serious trouble thanks for caring enough to pack my shit properly this is my kind of dn vendor here thank you order to delivery speed incredible quality on point a usual consistent very t of the best it simply cant get better star a always very nice thanks awesome vendor look no further awesome product best ever incredible consistency in speed and quality my one and only vendor this the a five out of five all day errday any time any place guy right here honestly if you have something bad to say about this vendor then you are a fucking as clown doesnt get better than right here and thats the truth great service a always guy are the best set your watch by it great communication no drama just point click and magic it appears next day got to love it make amazon look slow guy are the best arrived in day rd successful transaction through this vendor each time with quality product this stuff doesnt have the greatest rush however my tolerance is a little high right now a well but it still ha a strong fade with leg and the day awesome he hooked it up extra also l perfect transaction again thanks beloved vendor pp notch only logged in customer who related product g heroin lab tested usa stock g heroin i lab tested usa stock lab tested usa st review sa review add to cart add to cart add to cart client best stealth quality user data satisfaction solution guaranteed encryption we accept recent review g ketamine s isomer b lab tested d usa stock cant say enough how lucky i am to have stumbled across this vendor k is phenomenal fast ship and g crystal meth lab tested usa stock you can find u here my new plug a no complaint wall market g mdma crystal i lab tested usa stock heat vendor good shipping speed great product almost g overweight thanks dream market g heroin lab tested usa stock top notch g ketamine s isomer lab tested di usa stock vendor needed an extra day to ship out but he kept comms great and the shipment is on it way 
